Sales Enquiry as of 19/08/2025,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total
13/08/2025,PSDTWRaya,Pesado Tamper - Raya,Bean Around Town,PESADO,Main Warehouse,Completed,2,153.63
13/08/2025,AB3070MJ600RAINBOW,Artisan Barista 600ml Jug Metallic Rainbow,Bean Around Town,The Artisan Barista,Main Warehouse,Completed,4,153.63
13/08/2025,HC7125PK,C Accessories 1lt Jug Pink,Bean Around Town,Coffee Accessories,Main Warehouse,Completed,4,66.55
12/08/2025,,B2B Pickup/Dropship,Byron Bay Coffee Company,,Main Warehouse,Completed,1,0.00
12/08/2025,HG6395,Cold Drip Ground Holder 2669,Byron Bay Coffee Company,Tiamo Cold Drip,Main Warehouse,Completed,1,59.09
12/08/2025,Courier Fee,Courier Fee,Roasting Warehouse Specialty Coffee,,Main Warehouse,Completed,1,23.50
12/08/2025,HC7125BK,C Accessories 1lt Jug Black,Roasting Warehouse Specialty Coffee,Coffee Accessories,Main Warehouse,Completed,1,16.64
12/08/2025,HC7124BK,C Accessories 600ml Jug Black,Roasting Warehouse Specialty Coffee,Coffee Accessories,Main Warehouse,Completed,1,12.82
12/08/2025,HC7123BK,C Accessories 300ml Jug Black,Roasting Warehouse Specialty Coffee,Coffee Accessories,Main Warehouse,Completed,1,10.36
12/08/2025,SWRubber_straight,1187501 Steam Wand Rubber Straight,Roasting Warehouse Specialty Coffee,Coffee Machine Parts & Accesories,Main Warehouse,Completed,20,60.00
12/08/2025,MeasureCup,TiAmo Measuring Cup,Roasting Warehouse Specialty Coffee,Tiamo,Main Warehouse,Completed,20,152.76
12/08/2025,CA3070TM1,C Accessories - Tamping Corner Mat Small,Roasting Warehouse Specialty Coffee,Coffee Accessories,Main Warehouse,Completed,20,240.00
12/08/2025,CA3070-Thermometer,C Accessories Analog thermometer,Roasting Warehouse Specialty Coffee,Coffee Accessories,Main Warehouse,Completed,20,145.00
12/08/2025,CA3070-groupbrush,C Accessories - group brush for coffee machines,Roasting Warehouse Specialty Coffee,Coffee Accessories,Main Warehouse,Completed,30,60.00
12/08/2025,SWRubber_round,1186180 Steam Wand Rubber round,Roasting Warehouse Specialty Coffee,Coffee Machine Parts & Accesories,Main Warehouse,Completed,30,90.00
12/08/2025,ShowerLM,Genuine Shower Screen La Marzocco/Synesso/Slayer,Roasting Warehouse Specialty Coffee,Coffee Machine Parts & Accesories,Main Warehouse,Completed,30,117.00
