Sales Enquiry as of 31/10/2025,,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total,Customer Type
30/10/2025,AB3070MJ600TBK,Artisan Barista 600ml Jug Metallic Black,Commercial Kitchen Company,The Artisan Barista,Main Warehouse,Completed,3,106.36,AUS Wholesale
30/10/2025,AB3070MJ350TBK,Artisan Barista 350ml Jug Metallic Black,Commercial Kitchen Company,The Artisan Barista,Main Warehouse,Completed,3,98.17,AUS Wholesale
29/10/2025,,B2B flat fee,Barefoot Coffee Roasters,,Main Warehouse,Placed,1,18.18,AUS Wholesale
29/10/2025,HK0537BK,Tiamo CT2000 digital scale with timer - Black,Barefoot Coffee Roasters,Tiamo,Main Warehouse,Placed,1,84.00,AUS Wholesale
29/10/2025,BC0092,Tap for HG2669,Barefoot Coffee Roasters,Tiamo Cold Drip,Main Warehouse,Placed,1,52.50,AUS Wholesale
29/10/2025,HG2669,HG2669 Cold Drip,Barefoot Coffee Roasters,Tiamo Cold Drip,Main Warehouse,Placed,1,571.29,AUS Wholesale
29/10/2025,HG6395,Cold Drip Ground Holder 2669,Barefoot Coffee Roasters,Tiamo Cold Drip,Main Warehouse,Placed,1,68.18,AUS Wholesale
29/10/2025,Courier Fee,Courier Fee,Roasting Warehouse Specialty Coffee,,Main Warehouse,Completed,1,15.22,AUS Wholesale
29/10/2025,HG2713BK,HG2713 Cold Drip Black,Roasting Warehouse Specialty Coffee,Tiamo Cold Drip,Main Warehouse,Completed,1,178.12,AUS Wholesale
29/10/2025,CA3070KT,C Accessories Commercial Knock Tube,The Cart Co.,Coffee Accessories,Main Warehouse,Completed,1,40.00,AUS Wholesale
29/10/2025,CaffettoRESTORE,Cafetto Renew Descaler - 25g sachet x 6 pack,The Cart Co.,Cafetto,Main Warehouse,Completed,1,12.05,AUS Wholesale
29/10/2025,CA3070TM2,C Accessories - Tamping Corner Mat Large,The Cart Co.,Coffee Accessories,Main Warehouse,Completed,1,17.50,AUS Wholesale
29/10/2025,AB3070-ClickTamper,Artisan Barista - Lotus Click Tamper 58.3mm,The Cart Co.,The Artisan Barista,Main Warehouse,Completed,2,113.26,AUS Wholesale
29/10/2025,Courier Fee,Courier Fee,Segafredo,,Main Warehouse,Completed,1,20.00,AUS Wholesale
29/10/2025,Misc. Product,Misc. Product,Segafredo,Accessories,Main Warehouse,Completed,1,0.00,AUS Wholesale
29/10/2025,VK2005004,Domestic knock box,Shop Sale,Accessories,Main Warehouse,Completed,1,36.36,AUS Wholesale
29/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),Coffee Nerd,PESADO,Main Warehouse,Parked,12,60.00,AUS Wholesale
29/10/2025,Courier Fee,Courier Fee,Coffee Machine Technologies,,Main Warehouse,Completed,1,25.44,AUS Wholesale
29/10/2025,HG5544YY,V02 Ceramic Pour Over Cone Yellow,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,2,30.55,AUS Wholesale
29/10/2025,HG5544PK,V02 Ceramic Pour Over Cone Pink,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,2,30.54,AUS Wholesale
29/10/2025,HG5544BB,V02 Ceramic Pour Over Cone Blue,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,2,30.54,AUS Wholesale
29/10/2025,HG5538W,V02 Ceramic Pour Over Cone White,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,2,30.54,AUS Wholesale
29/10/2025,HG3725W,Pour Over Filter - V02 White,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,10,65.40,AUS Wholesale
29/10/2025,AB3070EK-BK,Artisan Barista 1lt Electric Kettle Black,Coffee Machine Technologies,The Artisan Barista,Main Warehouse,Completed,4,338.16,AUS Wholesale
29/10/2025,Courier Fee,Courier Fee,Coffee Machine Technologies,,Main Warehouse,Completed,1,8.04,AUS Wholesale
29/10/2025,Tamp-M_PROX_sensor,Tamp-M Proximity Sensor,Coffee Machine Technologies,Tamp-M,Main Warehouse,Completed,1,113.57,AUS Wholesale
29/10/2025,,B2B Pickup/Dropship,Blackboard Coffee Roasters,,Main Warehouse,Completed,1,0.00,AUS Wholesale
29/10/2025,AB3070EK-BU,Artisan Barista 1lt Electric Kettle Sky Blue,Blackboard Coffee Roasters,The Artisan Barista,Main Warehouse,Completed,1,91.59,AUS Wholesale
28/10/2025,Courier Fee,Courier Fee,sweet spot kaffee GmbH,,China-W,Parked,1,264.14,ITL Wholesale
28/10/2025,V2-PSDring-58mm,Pesado Magnetic 58mm Dosing Ring,sweet spot kaffee GmbH,PESADO,China-W,Parked,20,334.73,ITL Wholesale
28/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,sweet spot kaffee GmbH,PESADO,China-W,Parked,10,557.88,ITL Wholesale
28/10/2025,PSD-HE-ME,Pesado He[%] Basket - Medium,sweet spot kaffee GmbH,PESADO,China-W,Parked,20,"1,115.76",ITL Wholesale
28/10/2025,PSD-HE-SM,Pesado He[%] Basket - Small,sweet spot kaffee GmbH,PESADO,China-W,Parked,30,"1,673.64",ITL Wholesale
28/10/2025,PRE-BR58-SET,Breville 58mm Hybrid Precision Set,PESADO-NEW,PESADO,China-W,Parked,1,268.09,Web
28/10/2025,PSD-HD-MV58,High Diffusion shower screen for Breville 58,PESADO-NEW,PESADO,China-W,Parked,1,61.99,Web
28/10/2025,PSD-HE-SM,Pesado He[%] Basket - Small,PESADO-NEW,PESADO,China-W,Parked,1,89.88,Web
28/10/2025,PSD-HE-ME,Pesado He[%] Basket - Medium,PESADO-NEW,PESADO,China-W,Parked,1,89.88,Web
28/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO-NEW,PESADO,China-W,Parked,1,89.88,Web
28/10/2025,PSD-HE-XL,Pesado He[%] Basket - Extra Large,PESADO-NEW,PESADO,China-W,Parked,1,89.88,Web
28/10/2025,V2-PSD-distributor,Pesado Impact-Gravity Distributor 58.5mm,Shop Sale,PESADO,Main Warehouse,Completed,1,56.73,AUS Wholesale
28/10/2025,Courier Fee,Courier Fee,Dipacci Coffee Company Pty Ltd,,Main Warehouse,Backordered,1,12.46,AUS Wholesale
28/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Backordered,6,286.36,AUS Wholesale
28/10/2025,AeroPPF,AeroPress Paper Filter 350 filters per pack,Dipacci Coffee Company Pty Ltd,Aeropress,Main Warehouse,Backordered,20,237.30,AUS Wholesale
28/10/2025,PSD-HD-E61,Pesado High Diffusion Shower Screen E61,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Backordered,6,362.71,AUS Wholesale
28/10/2025,Courier Fee,Courier Fee,Ona Coffee,,Main Warehouse,Backordered,1,38.31,AUS Wholesale
28/10/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,Ona Coffee,The Artisan Barista,Main Warehouse,Backordered,50,"2,097.00",AUS Wholesale
28/10/2025,Courier Fee,Courier Fee,PROKURE Aus PTY LTD - Alternative Brewing,,Main Warehouse,Backordered,1,209.60,AUS Wholesale
