Production Enquiry as of 31/10/2025,,,,,,,,,
Assembly Number,Assembly Date,Assemble By,Product Code,Product Description,Product Group,Warehouse,Quantity,Total Cost,Assembly Status
ASM-00031830,,30/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031830,,30/10/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-18.51,Parked
ASM-00031830,,30/10/2025,PF02MV-BGD-HY,Pesado HYBRID Double Spouted Portafilter 5mm E61 - Black/Gold,PESADO,Main Warehouse,1,41.55,Parked
ASM-00031829,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031829,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031829,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031828,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031828,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031828,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031827,,30/10/2025,V2-PSDring-58mm,Pesado Magnetic 58mm Dosing Ring,PESADO,Main Warehouse,-1,-8.31,Parked
ASM-00031827,,30/10/2025,PSDdosingCup-BK,Pesado 58mm Dosing Cup - Black Ripple edition,PESADO,Main Warehouse,-1,-7.39,Parked
ASM-00031827,,30/10/2025,DOSING_B,Dosing Bundle - Black Ripple 58mm Dosing Cup Black 58mm Dosing Ring,PESADO,Main Warehouse,1,15.70,Parked
ASM-00031826,,30/10/2025,AB3070JRS-Box,Artisan Barista Jug Rinser Small - Benchtop Stand,The Artisan Barista,Main Warehouse,-1,-10.00,Parked
ASM-00031826,,30/10/2025,AB3070JRS,Artisan Barista - Black Jug Rinser Small,The Artisan Barista,Main Warehouse,-1,-33.41,Parked
ASM-00031826,,30/10/2025,AB3070JRS-Bundle,Artisan Barisyta Jug Rinser Small With Benchtop Stand Small,The Artisan Barista,Main Warehouse,1,43.41,Parked
ASM-00031822,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031822,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031822,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031821,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031821,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031821,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031820,,30/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Parked
ASM-00031820,,30/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031820,,30/10/2025,PFMOD2-Iris,Pesado Portafilter Multi Handle Module 2 - Iris,PESADO,Main Warehouse,-1,-6.98,Parked
ASM-00031820,,30/10/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031820,,30/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Parked
ASM-00031820,,30/10/2025,PF02BR54WH-Iris-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - White/Iris,PESADO,Main Warehouse,1,37.40,Parked
ASM-00031819,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031819,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031819,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031818,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031818,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031818,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031817,,30/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.63,Parked
ASM-00031817,,30/10/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.86,Parked
ASM-00031817,,30/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
